141,bankcard,62
142,jcb,157
143,jcb,52
144,jcb,246
145,instapayment,182
146,mastercard,12
147,mastercard,59
148,americanexpress,221
149,jcb,38
150,diners-club-carte-blanche,131
151,jcb,78
152,americanexpress,175
153,switch,46
154,diners-club-carte-blanche,296
155,jcb,139
156,jcb,291
157,maestro,83
158,maestro,249
159,diners-club-enroute,274
160,switch,31
161,jcb,275
162,diners-club-carte-blanche,43
163,bankcard,13
164,jcb,124
165,jcb,280
166,jcb,156
167,jcb,207
168,jcb,156
169,jcb,190
170,bankcard,279
171,jcb,146
172,switch,83
173,mastercard,239
174,jcb,287
175,jcb,111
176,jcb,212
177,bankcard,32
178,jcb,262
179,jcb,177
180,diners-club-us-ca,164
181,jcb,162
182,china-unionpay,182
183,bankcard,206
184,solo,217
185,switch,183
186,jcb,113
187,americanexpress,261
188,jcb,252
189,mastercard,116
190,jcb,89
191,diners-club-carte-blanche,175
192,jcb,94
193,jcb,14
194,maestro,106
195,solo,133
196,maestro,263
197,diners-club-enroute,260
198,switch,249
199,china-unionpay,108
200,jcb,288
201,visa-electron,157
202,americanexpress,69
203,jcb,213
204,jcb,160
205,visa,147
206,mastercard,97
207,visa-electron,218
208,jcb,204
209,jcb,200
210,visa-electron,20
211,solo,40
212,jcb,267
213,jcb,33
214,maestro,88
215,switch,174
216,diners-club-carte-blanche,154
217,jcb,57
218,jcb,16
219,mastercard,150
220,visa,174
221,switch,293
222,mastercard,13
223,jcb,263
224,jcb,210
225,mastercard,155
226,jcb,108
227,jcb,39
228,mastercard,55
229,jcb,279
230,mastercard,293
231,visa-electron,66
232,bankcard,207
233,switch,129
234,instapayment,25
235,diners-club-us-ca,126
236,jcb,185
237,maestro,54
238,jcb,174
239,jcb,16
240,jcb,118
241,switch,107
242,jcb,66
243,jcb,103
244,maestro,285
245,diners-club-enroute,125
246,jcb,79
247,jcb,191
248,switch,97
249,maestro,74
250,mastercard,284
251,jcb,40
252,diners-club-carte-blanche,46
253,jcb,262
254,mastercard,216
255,mastercard,82
256,jcb,247
257,mastercard,220
258,bankcard,57
259,visa,136
260,maestro,69
261,diners-club-carte-blanche,134
262,jcb,30
263,mastercard,257
264,diners-club-carte-blanche,54
265,jcb,294
266,instapayment,146
267,jcb,58
268,laser,136
269,jcb,125
270,visa,203
271,jcb,171
272,mastercard,153
273,china-unionpay,277
274,maestro,235
275,diners-club-carte-blanche,141
276,maestro,291
277,jcb,144
278,mastercard,213
279,jcb,109
280,jcb,259
281,jcb,84
282,jcb,274
283,maestro,295
284,jcb,266
285,mastercard,99
286,visa-electron,145
287,jcb,232
288,jcb,18
289,instapayment,13
290,china-unionpay,135
291,americanexpress,45
292,jcb,169
293,china-unionpay,17
294,jcb,95
295,laser,211
296,jcb,106
297,jcb,253
298,visa-electron,147
299,jcb,284
300,mastercard,28
301,americanexpress,275
302,americanexpress,94
303,jcb,159
304,visa,91
305,jcb,258
306,maestro,45
307,jcb,300
308,bankcard,190
309,switch,170
310,switch,34
311,bankcard,173
312,laser,219
313,jcb,19
314,maestro,199
315,jcb,234
316,mastercard,154
317,jcb,208
318,visa,129
319,jcb,245
320,instapayment,21
321,china-unionpay,192
322,diners-club-enroute,262
323,diners-club-us-ca,58
324,mastercard,56
325,jcb,181
326,mastercard,290
327,americanexpress,239
328,maestro,194
329,jcb,271
330,diners-club-carte-blanche,219
331,mastercard,95
332,diners-club-enroute,128
333,jcb,290
334,jcb,90
335,diners-club-carte-blanche,150
336,jcb,263
337,diners-club-carte-blanche,87
338,visa-electron,198
339,jcb,80
340,jcb,186
341,jcb,296
342,jcb,118
343,diners-club-carte-blanche,48
344,china-unionpay,129
345,mastercard,184
346,visa-electron,41
347,americanexpress,5
348,jcb,237
349,laser,83
350,china-unionpay,110
351,diners-club-carte-blanche,184
352,solo,211
353,jcb,278
354,diners-club-enroute,129
355,jcb,269
356,jcb,22
357,jcb,201
358,maestro,184
359,maestro,234
360,jcb,265
361,jcb,270
362,jcb,245
363,jcb,292
364,solo,142
365,diners-club-us-ca,85
366,bankcard,155
367,diners-club-enroute,94
368,diners-club-enroute,230
369,visa-electron,120
370,jcb,231
371,jcb,97
372,china-unionpay,274
373,jcb,299
374,maestro,28
375,maestro,140
376,visa,131
377,jcb,137
378,jcb,169
379,jcb,14
380,jcb,88
381,mastercard,215
382,jcb,177
383,mastercard,99
384,switch,187
385,jcb,30
386,jcb,227
387,mastercard,135
388,americanexpress,214
389,jcb,31
390,diners-club-carte-blanche,267
391,switch,51
392,jcb,44
393,jcb,265
394,americanexpress,137
395,jcb,236
396,mastercard,215
397,instapayment,40
398,china-unionpay,145
399,diners-club-carte-blanche,293
400,jcb,4
401,jcb,265
402,jcb,31
403,switch,288
404,visa,260
405,visa,143
406,jcb,209
407,jcb,236
408,jcb,12
409,mastercard,93
410,jcb,114
411,mastercard,89
412,jcb,215
413,americanexpress,192
414,switch,150
415,americanexpress,110
416,jcb,89
417,china-unionpay,175
418,jcb,35
419,jcb,212
420,visa,222
421,americanexpress,37
422,jcb,282
423,diners-club-carte-blanche,214
424,jcb,140
425,maestro,220
426,jcb,270
427,jcb,51
428,switch,153
429,jcb,249
430,maestro,24
431,visa,228
432,bankcard,30
433,switch,238
434,jcb,117
435,americanexpress,28
436,china-unionpay,242
437,jcb,112
438,jcb,144
439,americanexpress,37
440,diners-club-enroute,233
441,diners-club-enroute,152
442,diners-club-enroute,165
443,jcb,263
444,diners-club-us-ca,23
445,americanexpress,258
446,jcb,79
447,mastercard,203
448,maestro,191
449,mastercard,256
450,jcb,143
451,jcb,137
452,jcb,299
453,china-unionpay,245
454,maestro,255
455,jcb,97
456,bankcard,265
457,americanexpress,108
458,jcb,113
459,jcb,12
460,jcb,262
461,jcb,236
462,jcb,234
463,jcb,31
464,mastercard,106
465,instapayment,31
466,maestro,264
467,visa-electron,102
468,jcb,258
469,jcb,271
470,americanexpress,182
471,diners-club-us-ca,95
472,jcb,189
473,mastercard,46
474,jcb,203
475,jcb,137
476,jcb,262
477,jcb,278
478,jcb,236
479,china-unionpay,150
480,mastercard,169
481,maestro,250
482,laser,127
483,jcb,282
484,americanexpress,153
485,jcb,32
486,jcb,172
487,china-unionpay,165
488,jcb,188
489,jcb,246
490,switch,117
491,instapayment,91
492,visa,213
493,diners-club-enroute,249
494,maestro,207
495,visa,163
496,americanexpress,1
497,jcb,223
498,americanexpress,132
499,diners-club-carte-blanche,37
500,jcb,78
501,jcb,276
502,jcb,49
503,jcb,290
504,china-unionpay,248
505,jcb,83
506,diners-club-enroute,22
507,jcb,12
508,americanexpress,141
509,china-unionpay,177
510,jcb,42
511,visa-electron,178
512,jcb,174
513,americanexpress,191
514,diners-club-enroute,75
515,americanexpress,20
516,jcb,150
517,bankcard,85
518,jcb,37
519,jcb,66
520,jcb,172
521,bankcard,81
522,jcb,256
523,visa,49
524,jcb,35
525,jcb,126
526,visa,92
527,visa-electron,162
528,mastercard,191
529,americanexpress,251
530,jcb,125
531,jcb,241
532,maestro,189
533,americanexpress,151
534,jcb,270
535,maestro,107
536,americanexpress,109
537,bankcard,13
538,jcb,299
539,americanexpress,193
540,jcb,220
541,maestro,12
542,jcb,91
543,visa-electron,148
544,jcb,119
545,maestro,90
546,jcb,147
547,jcb,220
548,jcb,285
549,mastercard,48
550,diners-club-enroute,78
551,jcb,200
552,maestro,207
553,bankcard,63
554,laser,299
555,jcb,20
556,maestro,88
557,jcb,189
558,visa-electron,111
559,diners-club-enroute,255
560,jcb,288
561,mastercard,26
562,diners-club-carte-blanche,241
563,jcb,234
564,china-unionpay,221
565,jcb,45
566,visa-electron,77
567,jcb,100
568,visa-electron,251
569,visa-electron,214
570,switch,175
571,jcb,208
572,diners-club-international,49
573,bankcard,290
574,maestro,121
575,jcb,15
576,switch,66
577,jcb,295
578,jcb,227
579,jcb,152
580,laser,96
581,jcb,114
582,instapayment,298
583,bankcard,116
584,jcb,158
585,americanexpress,145
586,maestro,7
587,maestro,151
588,mastercard,192
589,diners-club-carte-blanche,239
590,laser,282
591,jcb,191
592,bankcard,282
593,maestro,145
594,americanexpress,202
595,jcb,52
596,diners-club-carte-blanche,298
597,switch,210
598,bankcard,167
599,jcb,11
600,visa,77
601,americanexpress,62
602,switch,26
603,bankcard,300
604,jcb,161
605,maestro,278
606,instapayment,150
607,visa-electron,15
608,americanexpress,214
609,jcb,284
610,mastercard,81
611,jcb,174
612,jcb,216
613,jcb,192
614,visa,102
615,jcb,204
616,jcb,298
617,jcb,298
618,jcb,166
619,jcb,105
620,solo,230
621,visa-electron,207
622,maestro,152
623,visa-electron,237
624,jcb,110
625,solo,69
626,jcb,118
627,jcb,295
628,visa-electron,203
629,diners-club-enroute,258
630,visa-electron,194
631,jcb,84
632,jcb,170
633,solo,84
634,jcb,78
635,diners-club-enroute,4
636,diners-club-enroute,300
637,americanexpress,15
638,bankcard,226
639,jcb,158
640,jcb,30
641,visa,118
642,mastercard,295
643,jcb,201
644,jcb,212
645,jcb,252
646,visa,182
647,diners-club-carte-blanche,272
648,jcb,243
649,jcb,300
650,laser,64
651,jcb,117
652,mastercard,264
653,jcb,118
654,jcb,165
655,visa-electron,167
656,mastercard,237
657,visa,290
658,maestro,16
659,jcb,79
660,jcb,292
661,diners-club-carte-blanche,142
662,jcb,98
663,diners-club-us-ca,281
664,maestro,118
665,jcb,248
666,maestro,85
667,jcb,250
668,laser,107
669,laser,10
670,jcb,266
671,instapayment,101
672,jcb,279
673,mastercard,95
674,mastercard,13
675,jcb,228
676,visa,151
677,china-unionpay,96
678,switch,290
679,jcb,281
680,maestro,44
681,jcb,287
682,jcb,114
683,jcb,118
684,jcb,281
685,jcb,87
686,americanexpress,214
687,switch,171
688,jcb,133
689,americanexpress,245
690,jcb,281
691,jcb,201
692,mastercard,234
693,bankcard,58
694,jcb,64
695,jcb,265
696,jcb,196
697,jcb,236
698,switch,276
699,jcb,286
700,jcb,142
